Gene,Drugs,# Drugs,DrugBank Drug IDs,# Pubmed Results (Inhibitor),# OpenAlex Results (Inhibitor),# Pubmed Results (Inhibition),# OpenAlex Results (Inhibition),Inhibition Results,# Pubmed Results,# OpenAlex Results,Total Results,Level of Evidence
ERBB2,"{'Zanidatamab', 'Neratinib + Trastuzumab + Fulvestrant', 'Pembrolizumab + Trastuzumab + Chemotherapy', 'Trastuzumab', 'Sevabertinib', 'Lapatinib + Trastuzumab', 'Trastuzumab + Docetaxel', 'Neratinib', 'Trastuzumab + Pertuzumab', 'Trastuzumab + Tucatinib + Capecitabine', 'Margetuximab + Chemotherapy', 'Ado-Trastuzumab Emtansine', 'Trastuzumab Deruxtecan', 'Neratinib + Capecitabine', 'Trastuzumab + Chemotherapy', 'Trastuzumab + Pertuzumab + Docetaxel', 'Lapatinib + Capecitabine', 'Trastuzumab + Carboplatin-Taxol Regimen', 'Pertuzumab + Trastuzumab', 'Trastuzumab + Pertuzumab + Chemotherapy', 'Lapatinib + Letrozole', 'Tucatinib + Trastuzumab', 'Zongertinib'}",23,DB00072; DB00179; DB01259; DB04862; DB04988; DB05424; DB05773; DB05944; DB06021; DB06226; DB06366; DB07662; DB08916; DB11652; DB11665; DB11699; DB11828; DB11963; DB11973; DB12010; DB12114; DB12174; DB12183; DB12267; DB12302; DB12318; DB12682; DB14944; DB14967; DB15035; DB15471; DB15559; DB18762; DB21508; DB21667,89,1056,61,323,1529,25139,68367,93506,4
EGFR,"{'Sunvozertinib', 'Erlotinib + Ramucirumab', 'Afatinib', 'Osimertinib + Chemotherapy', 'Amivantamab + Chemotherapy', 'Amivantamab + Lazertinib', 'Cetuximab', 'Dacomitinib', 'Lapatinib', 'Gefitinib', 'Amivantamab', 'Poziotinib', 'Patritumab Deruxtecan', 'Zipalertinib', 'Cetuximab + Chemotherapy', 'Panitumumab + Chemotherapy', 'Osimertinib', 'Datopotamab Deruxtecan', 'Erlotinib', 'Panitumumab'}",20,DB16640,2819,33455,1391,9548,47213,126624,423961,550585,R2
KRAS,"{'Cetuximab + Chemotherapy', 'Cobimetinib', 'Sotorasib + Panitumumab', 'Adagrasib', 'Adagrasib + Panitumumab', 'Panitumumab + Chemotherapy', 'Sotorasib + Cetuximab', 'Adagrasib + Cetuximab', 'Daraxonrasib', 'Avutometinib + Defactinib', 'Trametinib', 'Sotorasib', 'MRTX-1133', 'Binimetinib', 'Cetuximab', 'Panitumumab', 'Tucatinib + Trastuzumab', 'ASP3082'}",18,DB07771; DB07780; DB15568; DB15569; DB21583,184,2062,159,764,3169,31225,203306,234531,Dx3
BRAF,"{'Vemurafenib + Atezolizumab + Cobimetinib', 'Encorafenib + Cetuximab', 'Cobimetinib', 'Dabrafenib + Trametinib', 'Plixorafenib', 'Encorafenib + Panitumumab', 'Encorafenib + Cetuximab + FOLFOX Regimen', 'Trametinib', 'Selumetinib', 'Tovorafenib', 'Vemurafenib + Cobimetinib', 'Dabrafenib', 'Vemurafenib', 'Encorafenib + Binimetinib'}",14,DB00398; DB05190; DB05984; DB06999; DB07000; DB08553; DB08881; DB08896; DB08912; DB11718; DB12010; DB12854; DB14773; DB14840; DB15068; DB15254; DB15266; DB16038; DB17082,1933,16710,549,5593,24785,27253,118389,145642,Dx3
MET,"{'Capmatinib', 'Gefitinib', 'Elzovantinib', 'Cabozantinib', 'Osimertinib', 'Tepotinib', 'Telisotuzumab Vedotin', 'Erlotinib', 'Crizotinib'}",9,DB01268; DB02152; DB06314; DB06896; DB06995; DB06997; DB07369; DB07969; DB08079; DB08791; DB08865; DB08875; DB11791; DB11800; DB11977; DB12010; DB12048; DB12064; DB12200; DB12267; DB12307; DB12381; DB12742; DB12795; DB12848; DB13113; DB14860; DB15036; DB15104; DB15133; DB15382; DB15639; DB16695; DB16823; DB17191; DB17525; DB18918; DB19174,928,8190,387,2629,12134,335619,3948826,4284445,R2
NRAS,"{'Cobimetinib', 'Binimetinib + Ribociclib', 'Panitumumab + Chemotherapy', 'Selumetinib + Iodine I 131-6-Beta-Iodomethyl-19-Norcholesterol', 'Trametinib', 'Binimetinib', 'Cetuximab', 'Panitumumab', 'Tucatinib + Trastuzumab'}",9,DB12681; DB15289,1966,41,1273,28,3308,8252,99089,107341,Px1
BRCA1,"{'Olaparib + Abiraterone + Prednisone', 'Talazoparib + Enzalutamide', 'Olaparib', 'Niraparib + Abiraterone Acetate + Prednisone', 'Talazoparib', 'Olaparib + Bevacizumab', 'Rucaparib', 'Niraparib'}",8,,4741,325,19,368,5453,24995,113390,138385,3
BRCA2,"{'Olaparib + Abiraterone + Prednisone', 'Talazoparib + Enzalutamide', 'Olaparib', 'Niraparib + Abiraterone Acetate + Prednisone', 'Talazoparib', 'Olaparib + Bevacizumab', 'Rucaparib', 'Niraparib'}",8,,2938,49,1125,38,4150,16555,67218,83773,3
KIT,"{'Imatinib', 'Sunitinib', 'Avapritinib', 'Sorafenib', 'Regorafenib', 'Ripretinib', 'Nilotinib', 'Pazopanib'}",8,DB00398; DB00619; DB01254; DB01268; DB01962; DB04868; DB05146; DB05332; DB05575; DB05913; DB06080; DB06436; DB06589; DB06595; DB08339; DB08875; DB08896; DB08901; DB09078; DB09103; DB11741; DB11800; DB12010; DB12147; DB12742; DB12978; DB14840; DB15233; DB17140; DB18041,198,2120,109,770,3197,106103,2133513,2239616,Px1
PIK3CA,"{'Capivasertib + Fulvestrant', 'Alpelisib + Fulvestrant', 'Inavolisib + Palbociclib + Fulvestrant', 'RLY-2608 + Fulvestrant', 'RLY-2608'}",5,DB12015,50,602,13,93,758,9407,52717,62124,4
FGFR2,"{'Futibatinib', 'Fexagratinib', 'Pemigatinib', 'Lirafugratinib', 'Erdafitinib'}",5,DB00039; DB01109; DB01901; DB02058; DB02491; DB06244; DB08896; DB08901; DB09078; DB09079; DB10770; DB10772; DB11845; DB11886; DB12010; DB12147; DB12558; DB12903; DB13022; DB15102; DB15149; DB15685; DB15822; DB17587; DB20918,36,559,27,116,738,4919,22424,27343,4
CDK12,"{'Talazoparib + Enzalutamide', 'Cemiplimab', 'Nivolumab', 'Olaparib', 'Pembrolizumab'}",5,,23,161,39,244,467,681,4028,4709,4
RET,"{'Vandetanib', 'Selpercatinib', 'Cabozantinib', 'Pralsetinib'}",4,DB00398; DB00619; DB01809; DB05014; DB05294; DB05332; DB06436; DB07159; DB08875; DB08896; DB08901; DB09078; DB12010; DB12147; DB12742; DB15036; DB15068; DB15685; DB15822; DB21491,258,1781,90,666,2795,12994,191323,204317,3
NF1,"{'Selumetinib', 'Trametinib', 'Cobimetinib', 'Mirdametinib'}",4,,1078,45,742,12,1877,10035,41802,51837,Dx2
CDKN2A,"{'Palbociclib', 'Abemaciclib', 'Ribociclib'}",3,,7949,96,3,10,8058,15663,44532,60195,Dx2
PTEN,"{'Capivasertib + Fulvestrant', 'AZD8186', 'GSK2636771'}",3,DB04327,216,2526,180,1557,4479,27221,174717,201938,Dx3
ESR1,"{'Imlunestrant', 'Fulvestrant', 'Elacestrant'}",3,DB00421,1515,64,1638,19,3236,8587,27595,36182,3
IDH1,"{'Olutasidenib', 'Vorasidenib', 'Ivosidenib'}",3,DB01727; DB03461; DB13874; DB14568; DB16267; DB17097,133,1299,23,154,1609,6217,35528,41745,Px2
MTOR,"{'Everolimus', 'Temsirolimus'}",2,DB00337; DB00877; DB01590; DB04974; DB05210; DB05241; DB05887; DB06233; DB06287; DB08052; DB11651; DB11836; DB11896; DB11925; DB11962; DB11974; DB11978; DB12010; DB12167; DB12180; DB12387; DB12400; DB12570; DB12681; DB12774; DB12843; DB12986; DB13062; DB13072; DB14846; DB18761; DB19085,5719,48831,2420,18745,75715,60839,286293,347132,4
ATM,"{'Olaparib', 'Talazoparib + Enzalutamide'}",2,DB00201; DB02289,275,2725,204,1207,4411,32745,401590,434335,1
MAP2K1,"{'Trametinib', 'Cobimetinib'}",2,DB14904,1383,38,1115,5,2541,2629,6065,8694,Dx3
AKT1,"{'Capivasertib + Fulvestrant', 'Capivasertib'}",2,DB00171; DB01169; DB01645; DB01863; DB02709; DB03777; DB04462; DB05424; DB05971; DB06486; DB06641; DB07584; DB07585; DB08073; DB08568; DB11648; DB11743; DB12218; DB12429; DB12795; DB14982; DB15399; DB15431,66,709,37,258,1070,13565,46282,59847,3
IDH2,"{'Vorasidenib', 'Enasidenib'}",2,DB01727; DB13874; DB17097,44,693,12,141,890,2765,17709,20474,Px2
ARID1A,"{'PLX2853', 'Tazemetostat'}",2,,476,29,270,5,780,2378,13905,16283,4
FGFR3,"{'Fexagratinib', 'Erdafitinib'}",2,DB05014; DB05928; DB06589; DB08577; DB08901; DB09078; DB09079; DB09283; DB11845; DB11865; DB11886; DB12010; DB12147; DB12558; DB12903; DB15102; DB15149; DB15685; DB17587,28,331,19,103,481,4002,20129,24131,Px1
SF3B1,"{'Ceralasertib', 'Emavusertib'}",2,DB14017,12,172,10,58,252,1559,10013,11572,Px2
EZH2,{'Tazemetostat'},1,DB12887; DB14581; DB14799; DB18314; DB19979,562,5152,418,3120,9252,7658,50141,57799,Px2
HRAS,{'Tipifarnib'},1,DB02210; DB03226; DB04137; DB04315; DB08751; DB15588,1786,30,1926,8,3750,8490,66318,74808,3
TSC1,{'Everolimus'},1,,771,38,748,30,1587,2943,17756,20699,1
STK11,{'Bemcentinib + Pembrolizumab'},1,,773,4,710,5,1492,3023,11730,14753,4
KMT2A,{'Revumenib'},1,,588,47,388,9,1032,2971,7117,10088,Px1
SMARCA4,{'PRT3789'},1,,439,34,344,16,833,2380,7901,10281,3
FBXW7,{'Lunresertib + Camonsertib'},1,,347,120,4,22,493,1807,10930,12737,Px3
SMARCB1,{'Tazemetostat'},1,,240,12,162,2,416,1917,6259,8176,4
TP53,{'Rezatapopt'},1,DB00945; DB01593; DB03347; DB05404; DB08363; DB11684; DB12541; DB13010; DB14487; DB14533; DB14548; DB15455; DB16331; DB16447; DB17039; DB17507; DB17549,17,233,7,80,337,37077,145334,182411,Px3
KDM6A,{'Tazemetostat'},1,,6,42,176,17,241,883,5874,6757,4
ERCC2,{'Cisplatin'},1,,62,0,63,0,125,1427,4691,6118,3
PPP2R1A,{'Lunresertib + Camonsertib'},1,DB02506; DB06905,44,3,2,3,52,252,1680,1932,4
CDKN1A,,0,DB00313; DB01169,10067,45,4836,16,14964,11615,20878,32493,
NFE2L2,,0,DB00609; DB04339; DB05650; DB12513; DB13001,3429,25,5402,7,8863,13027,8506,21533,
CTNNB1,,0,DB03904; DB17109,2524,34,3580,11,6149,12214,24088,36302,
CASP8,,0,DB04297; DB05103; DB11752; DB12651; DB12843,2365,37,2287,22,4711,5926,9475,15401,
CDKN1B,,0,,2702,17,1274,4,3997,3146,7824,10970,
MAPK1,,0,DB01017,1483,73,1876,28,3460,4601,12263,16864,
RB1,,0,,1379,387,1401,30,3197,7730,43111,50841,
RAC1,,0,DB00514,295,1725,180,994,3194,11370,60184,71554,
RHOA,,0,DB04315,191,1308,149,1096,2744,13871,69110,82981,Dx3
TGFBR2,,0,DB10770; DB10772; DB12010,3,42,2211,24,2280,6585,11495,18080,
MAP2K4,,0,DB14904,1169,13,983,2,2167,2075,2389,4464,
HLA-A,,0,DB06226; DB11294,535,495,875,177,2082,17389,447393,464782,
CCND1,,0,DB00945; DB01169; DB11718; DB11752; DB12004; DB12340,1900,29,4,17,1950,7325,28364,35689,Px2
NOTCH1,,0,DB12050,56,871,91,928,1946,10440,51254,61694,Px3
CDH1,,0,,10,126,1526,67,1729,6459,29410,35869,
XPO1,,0,DB11942; DB16153; DB21067,148,966,82,493,1689,844,4875,5719,
SMAD4,,0,,1404,146,6,56,1612,6551,39596,46147,
CTCF,,0,,633,39,783,3,1458,4922,23777,28699,
APC,,0,,36,916,39,295,1286,38673,327486,366159,
CREBBP,,0,DB02587; DB08655; DB15034; DB17514,563,47,536,14,1160,2558,7746,10304,Dx3
HLA-B,,0,DB04464; DB11294,489,1,539,0,1029,16158,287565,303723,
PTPN11,,0,DB02779; DB17131,1,39,852,12,904,3256,9860,13116,Dx2
NF2,,0,,416,41,401,6,864,3526,16192,19718,
FOXA1,,0,,245,132,355,20,752,1800,12636,14436,
IL6ST,,0,DB06273; DB11767,362,7,334,0,703,1351,2777,4128,
SOX9,,0,,1,310,16,352,679,8102,37938,46040,
KEAP1,,0,DB04339; DB08908; DB12513,26,390,28,232,676,8249,37997,46246,
NOTCH2,,0,,412,129,12,59,612,2299,13607,15906,Dx3
DICER1,,0,,224,11,323,5,563,2366,8509,10875,
TCF7L2,,0,,244,16,297,4,561,2163,10693,12856,
BAP1,,0,,406,83,3,11,503,2328,10800,13128,
PIK3R1,,0,DB12015,218,8,263,1,490,1368,8400,9768,
DDX3X,,0,,135,82,204,11,432,757,3631,4388,
MAP3K1,,0,DB06061; DB12010; DB12429; DB17060,1,7,393,5,406,1082,3245,4327,
