Catalog ID,MW,Formula,Chemical name,Smiles,Type
Z4320871047,365.4191,C18H20FNO4S,4-{[2-(4-methoxyphenyl)pyrrolidin-1-yl]methyl}phenyl sulfurofluoridate,COC=1C=CC(=CC1)C2CCCN2CC=3C=CC(=CC3)OS(=O)(=O)F,FS
Z2867527691,331.3648,C7H10FN3O5S3,"2-[2-(N-methylmethanesulfonamido)acetamido]-1,3-thiazole-5-sulfonyl fluoride",CN(CC(=O)NC1=NC=C(S1)S(=O)(=O)F)S(C)(=O)=O,SuFEx
Z4246893374,335.3931,C17H18FNO3S,"4-{[(5,6,7,8-tetrahydronaphthalen-1-yl)amino]methyl}phenyl sulfurofluoridate",O=S(=O)(F)OC=1C=CC(=CC1)CNC=2C=CC=C3CCCCC23,FS
Z2768307128,373.3221,C16H11F4NO3S,"4-[4-(trifluoromethyl)-2,3-dihydro-1H-indole-1-carbonyl]benzene-1-sulfonyl fluoride",O=C(C=1C=CC(=CC1)S(=O)(=O)F)N2CCC=3C(=CC=CC32)C(F)(F)F,SuFEx
Z4262569460,332.3479,C13H17FN2O5S,5-[(oxolan-3-yl)(propan-2-yl)carbamoyl]pyridin-3-yl sulfurofluoridate,CC(C)N(C(=O)C1=CN=CC(=C1)OS(=O)(=O)F)C2CCOC2,FS
Z4582622623,400.445,C16H17FN2O5S2,4-[({[3-(sulfamoylmethyl)phenyl]methyl}carbamoyl)methyl]benzene-1-sulfonyl fluoride,NS(=O)(=O)CC=1C=CC=C(C1)CNC(=O)CC=2C=CC(=CC2)S(=O)(=O)F,SuFEx
Z4344017915,327.3744,C14H18FN3O3S,2-{[(1-ethenyl-1H-pyrazol-5-yl)methyl][(2-methylfuran-3-yl)methyl]amino}ethane-1-sulfonyl fluoride,C=CN1N=CC=C1CN(CCS(=O)(=O)F)CC=2C=COC2C,SuFEx
Z2867514599,347.3857,C12H14FN3O4S2,3-[(3-ethyl-1-methyl-1H-pyrazol-4-yl)sulfamoyl]benzene-1-sulfonyl fluoride,CCC1=NN(C)C=C1NS(=O)(=O)C=2C=CC=C(C2)S(=O)(=O)F,SuFEx
Z4317727300,425.4065,C18H17F2N3O5S,4-{[4-(4-fluorobenzoyl)piperazine-1-carbonyl]amino}phenyl sulfurofluoridate,O=C(NC=1C=CC(=CC1)OS(=O)(=O)F)N2CCN(CC2)C(=O)C=3C=CC(F)=CC3,FS
Z3488605483,349.3799,C16H16FN3O3S,"3-{3-cyclopropyl-4H,5H,6H,7H-pyrazolo[1,5-a]pyrimidine-4-carbonyl}benzene-1-sulfonyl fluoride",O=C(C=1C=CC=C(C1)S(=O)(=O)F)N2CCCN3N=CC(=C23)C4CC4,SuFEx
